Symbol,Side,Order Type,Status,Filled Time,Qty,Filled Qty,Price,Avg Price,Total,Time in Force,Placed Time
AAPL,Buy,LMT,Filled,01/15/2025 09:35:22,200,200,229.50,229.50,45900.00,DAY,01/15/2025 09:35:00
MSFT,Buy,LMT,Filled,01/15/2025 10:12:05,150,150,415.80,415.80,62370.00,DAY,01/15/2025 10:11:45
NVDA,Buy,MKT,Filled,01/22/2025 09:31:10,300,300,142.50,142.50,42750.00,DAY,01/22/2025 09:31:00
AMZN,Buy,LMT,Filled,01/29/2025 11:05:33,250,250,225.40,225.40,56350.00,DAY,01/29/2025 11:05:20
AAPL,Sell,LMT,Filled,02/12/2025 14:22:18,100,100,241.30,241.30,24130.00,DAY,02/12/2025 14:22:00
GOOGL,Buy,MKT,Filled,02/18/2025 09:32:45,300,300,185.20,185.20,55560.00,DAY,02/18/2025 09:32:30
MSFT,Sell,LMT,Filled,02/25/2025 15:45:10,150,150,425.60,425.60,63840.00,DAY,02/25/2025 15:44:55
NVDA,Sell,LMT,Filled,03/05/2025 10:15:30,150,150,131.80,131.80,19770.00,DAY,03/05/2025 10:15:15
META,Buy,LMT,Filled,03/10/2025 09:45:22,100,100,685.50,685.50,68550.00,DAY,03/10/2025 09:45:10
AMZN,Sell,LMT,Filled,03/11/2025 13:30:05,250,250,218.90,218.90,54725.00,DAY,03/11/2025 13:29:50
